URL,Title,Name,Address,Building Size,Lot Size,Year Built,Construction,Water,Sewer,Heating,Gas,Sprinkler System,Year Built/Renovated,Truck Court,Lighting,Building Type,Building Height,Building Class,Typical Floor Size,Column Spacing,Sustainability,Unfinished Ceiling Height,Sale Type,Sale Condition,Property Type,Property Subtype,Tenancy,Building FAR,Land Acres,Percent Leased,Price,Price Per SF,Cap Rate,NOI,Loading Docks,Slab To Slab,Opportunity Zone,Sale Conditions,Construction Status,LoopNet Rating
https://www.loopnet.com/Listing/8536-Terminal-Rd-Lorton-VA/20898387/,"Lorton, VA Industrial for Lease - 8536 Terminal Rd","Lorton, VA Industrial for Lease - 8536 Terminal Rd","8536 Terminal Rd, Lorton, VA 22079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/46-Stafford-St-Lawrence-MA/21919506/,"Lawrence, MA Multiple Space Uses for Lease - 46 Stafford St","Lawrence, MA Multiple Space Uses for Lease - 46 Stafford St","46 Stafford St, Lawrence, MA 01841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/181-Lombardy-St-Brooklyn-NY/31380724/,"Brooklyn, NY Industrial for Lease - 181 Lombardy St","Brooklyn, NY Industrial for Lease - 181 Lombardy St","181 Lombardy St, Brooklyn, NY 11222","24,000 SF",0.70 AC,1940,Masonry,,,,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/555-Johnson-Ave-Brooklyn-NY/33040479/,"Brooklyn, NY Flex, Industrial for Lease - 555 Johnson Ave","Brooklyn, NY Flex, Industrial for Lease - 555 Johnson Ave","555 Johnson Ave, Brooklyn, NY 11237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/SWC-of-I-294-Willow-Rd-Northbrook-IL/26258419/,"Northbrook, IL Industrial for Lease - SWC of I-294 & Willow Rd","Northbrook, IL Industrial for Lease - SWC of I-294 & Willow Rd","SWC of I-294 & Willow Rd, Northbrook, IL 60062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/207-King-Rd-Frisco-TX/24787456/,"Frisco, TX Industrial for Lease - 207 King Rd","Frisco, TX Industrial for Lease - 207 King Rd","207 King Rd, Frisco, TX 75036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/4201-Tonnelle-Ave-North-Bergen-NJ/21526560/,"North Bergen, NJ Multiple Space Uses for Lease - 4201 Tonnelle Ave","North Bergen, NJ Multiple Space Uses for Lease - 4201 Tonnelle Ave","4201 Tonnelle Ave, North Bergen, NJ 07047","177,270 SF",2.32 AC,1940,Masonry,City,City,Gas,Natural,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/14-53rd-St-Brooklyn-NY/29329125/,"Brooklyn, NY Multiple Space Uses for Lease - 14 53rd St","Brooklyn, NY Multiple Space Uses for Lease - 14 53rd St","14 53rd St, Brooklyn, NY 11232","510,000 SF",,,,,,,,,1918/2020,,,Office,7 Stories,B,"70,028 SF",,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/30-02-Northern-Long-Island-City-NY/29308853/,"Long Island City, NY Industrial for Lease - 30-02 Northern","Long Island City, NY Industrial for Lease - 30-02 Northern","30-02 Northern, Long Island City, NY 11101","649,112 SF",3.31 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/4100-1st-Ave-Brooklyn-NY/28979959/,"Brooklyn, NY Industrial for Lease - 4100 1st Ave","Brooklyn, NY Industrial for Lease - 4100 1st Ave","4100 1st Ave, Brooklyn, NY 11232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
